-0.98	0.247803
-0.94	0.25696
-0.9	0.265757
-0.86	0.274303
-0.82	0.28574
-0.78	0.293055
-0.74	0.30345
-0.7	0.312875
-0.66	0.320288
-0.62	0.329278
-0.58	0.336842
-0.54	0.34559
-0.5	0.352015
-0.46	0.360665
-0.42	0.366125
-0.38	0.36867
-0.34	0.3758
-0.3	0.380825
-0.26	0.386028
-0.22	0.389135
-0.18	0.393197
-0.14	0.396342
-0.1	0.396213
-0.06	0.398265
-0.02	0.399002
0.02	0.39858
0.06	0.396942
0.1	0.397215
0.14	0.39566
0.18	0.392165
0.22	0.38893
0.26	0.38425
0.3	0.38148
0.34	0.376592
0.38	0.370088
0.42	0.366057
0.46	0.35871
0.5	0.351548
0.54	0.344655
0.58	0.33815
0.62	0.329053
0.66	0.320617
0.7	0.312242
0.74	0.303107
0.78	0.29374
0.82	0.28734
0.86	0.275033
0.9	0.265653
0.94	0.258545
0.98	0.246973
